Id_do_Cliente,Nome,Idade,SSN,Profissao
CUS_0x1000,Alistair Barrf,18,913741218,Lawyer
CUS_0x1009,Arunah,26,063676938,Mechanic
CUS_0x100b,Shirboni,19,238620395,Media Manager
CUS_0x1011,Schneyerh,44,793058223,Doctor
CUS_0x1013,Cameront,44,930499615,Mechanic
CUS_0x1015,Holtono,28,810977024,Journalist
CUS_0x1018,Felsenthalq,16,731198119,Accountant
CUS_0x1026,Josephv,52,500629044,Manager
CUS_0x102d,Neil Chatterjeex,31,692717552,Entrepreneur
CUS_0x102e,Rhysn,26,352234930,Scientist
CUS_0x1032,Wahbap,40,620588045,Lawyer
CUS_0x1037,Matthewm,45,230229583,Accountant
CUS_0x1038,B.H,28,355007832,Architect
CUS_0x103e,Tim Kellyf,41,155728070,Scientist
CUS_0x1041,Jonathan Stempela,15,675802033,Teacher
CUS_0x1044,Maki Shirakip,44,261184430,Entrepreneur
CUS_0x1048,Janet Mcgurtyg,27,808812470,Accountant
CUS_0x104a,Leahk,37,652585852,Mechanic
CUS_0x104e,Kentaros,51,837935062,Teacher
CUS_0x104f,Markm,20,264848069,Architect
CUS_0x1051,Lucia Mutikanin,42,232337638,Engineer
CUS_0x1056,Hornbyb,45,081934350,Entrepreneur
CUS_0x1057,David Sheppardv,46,741073912,Writer
CUS_0x105b,Patricia Zengerlel,25,066656008,Accountant
CUS_0x105c,Lopezz,55,998187252,Journalist
CUS_0x1063,Sylvia Westallq,20,883388680,Architect
CUS_0x1069,Andreas Cremero,32,761275143,Accountant
CUS_0x106f,Alwyn Scottk,55,517961022,Developer
CUS_0x1075,Dorfmanv,39,225948383,Manager
CUS_0x107c,Karenh,15,712177369,Journalist
CUS_0x107e,Lianaj,15,463696790,Architect
CUS_0x1087,Alistairy,52,620147570,Doctor
CUS_0x108a,Silvial,39,394008142,Journalist
CUS_0x1096,Edward Krudyk,43,228654194,Lawyer
CUS_0x1098,Krudyz,23,466105742,Musician
CUS_0x109b,Gillesy,56,661043699,Manager
CUS_0x109d,Langep,45,260211290,Writer
CUS_0x109f,Vellacottj,41,283320255,Teacher
CUS_0x10a9,Ini Kristenr,42,514084156,Journalist
CUS_0x10aa,Carey Gillama,20,101004424,Musician
CUS_0x10ac,Zhouy,29,780504730,Developer
CUS_0x10b3,Johnsona,49,293453004,Mechanic
CUS_0x10b6,Gillesw,49,439765364,Journalist
CUS_0x10bb,Chyenf,35,075304340,Journalist
CUS_0x10c0,Scheyderx,39,658531756,Architect
CUS_0x10c5,Moony,24,041746785,Entrepreneur
CUS_0x10d7,Sinead Carewm,40,289569714,Developer
CUS_0x10dd,Praveen Menonq,25,907604113,Teacher
CUS_0x10df,Paritosh Bansalo,28,279203097,Musician
CUS_0x10e2,Sonalio,38,168783262,Media Manager
CUS_0x10e7,Carewj,20,094896380,Engineer
CUS_0x10eb,Yaob,51,647015481,Journalist
CUS_0x10ee,Hudsonb,30,699802426,Journalist
CUS_0x10f9,Gilles Guillaumev,54,746796875,Lawyer
CUS_0x10fd,Hendersonu,30,119337350,Developer
CUS_0x10ff,Murait,37,149035931,Accountant
CUS_0x1100,Kaorif,22,545196617,Accountant
CUS_0x1107,Felsenthalv,31,118706277,Writer
CUS_0x1108,En Klaymano,26,183665001,Accountant
CUS_0x1109,Karen Freifeldf,43,410396091,Lawyer
CUS_0x1119,Carlozoy,36,596615235,Entrepreneur
CUS_0x111b,Poornima Guptab,41,880906663,Manager
CUS_0x111c,Deepaa,24,420668144,Journalist
CUS_0x1123,Suzannep,15,917498240,Writer
CUS_0x112d,James Daveyt,23,774295843,Accountant
CUS_0x112e,Sanog,32,981037949,Mechanic
CUS_0x112f,Juminv,21,294206562,Mechanic
CUS_0x1130,Elizabethr,37,846603664,Journalist
CUS_0x1132,Jonathano,40,152957926,Mechanic
CUS_0x1134,Stt,49,964857634,Doctor
CUS_0x1135,Baertleinc,22,897951425,Journalist
CUS_0x1136,Stevenk,22,894069872,Entrepreneur
CUS_0x1138,Prodhanx,44,832926672,Lawyer
CUS_0x1139,Copleyp,32,952675462,Scientist
CUS_0x113e,Ransdell Piersono,45,542140249,Manager
CUS_0x1140,Jennifer Sabal,31,141172233,Accountant
CUS_0x1144,Douwet,43,720700565,Doctor
CUS_0x1145,Blenkinsopr,24,426319194,Teacher
CUS_0x114a,Valetkevitchu,43,133895234,Developer
CUS_0x114b,Hephero,37,978197269,Entrepreneur
CUS_0x1151,Hopkinsv,41,587073210,Journalist
CUS_0x1152,Gellerv,29,330022598,Accountant
CUS_0x1154,Jessica Wohlp,41,848350776,Developer
CUS_0x1155,Wohld,42,189760870,Developer
CUS_0x1156,Angela Moonq,25,877509125,Entrepreneur
CUS_0x115c,Ryan Vlastelicar,20,956283067,Engineer
CUS_0x1168,Philipm,42,773330379,Writer
CUS_0x1169,Janeman Latulb,34,352870792,Lawyer
CUS_0x117d,Evat,24,812628349,Media Manager
CUS_0x117f,Kevinj,52,082693410,Scientist
CUS_0x1182,Conor Humphriesk,24,117624809,Musician
CUS_0x1183,Barlyna,23,972423182,Mechanic
CUS_0x1184,Cohenq,49,963762464,Lawyer
CUS_0x1185,Groverj,25,238502115,Accountant
CUS_0x1190,Toonkelc,45,371361750,Media Manager
CUS_0x1192,Paul Carrell,47,880232963,Media Manager
CUS_0x1193,Peter Lauriap,46,239124495,Developer
CUS_0x1195,Alexk,32,822483629,Manager
CUS_0x1197,Nayako,29,799238283,Lawyer
CUS_0x119e,Rodrigol,38,498270676,Mechanic
CUS_0x11a4,Caroline Humerc,44,000403312,Manager
CUS_0x11ac,Liana B.V,26,835927751,Journalist
CUS_0x11ae,Xiaoyi Shaou,22,032975902,Architect
CUS_0x11b1,Browne,28,347476952,Lawyer
CUS_0x11b7,Cremern,28,440531294,Teacher
CUS_0x11c0,Bryana,20,534484062,Media Manager
CUS_0x11c1,Mark Felsenthalk,34,688995258,Engineer
CUS_0x11c6,Andreaj,49,170124663,Manager
CUS_0x11c7,Raden Reddallh,54,646191493,Architect
CUS_0x11d1,Jennifer Ablans,25,396446161,Mechanic
CUS_0x11d9,Annika Breidthardtd,42,548268600,Scientist
CUS_0x11e2,Valetkevitchr,35,809041419,Musician
CUS_0x11eb,Millikenw,24,032854630,Entrepreneur
CUS_0x11ec,William Schombergh,35,417742163,Journalist
CUS_0x11fc,Dmitracovaa,31,092203138,Lawyer
CUS_0x1204,Lashg,46,741783585,Writer
CUS_0x1207,Wheatleym,34,365761037,Developer
CUS_0x120c,James Regann,16,212980232,Scientist
CUS_0x120d,Martinx,27,477686707,Lawyer
CUS_0x1216,Robin Emmotti,19,256375248,Engineer
CUS_0x121b,Cheeu,42,162528159,Architect
CUS_0x1220,Berkowitze,32,409183250,Architect
CUS_0x1226,Hildebry,53,027550167,Manager
CUS_0x122c,Papadimasf,48,883739594,Entrepreneur
CUS_0x122f,Donovang,24,179855358,Media Manager
CUS_0x1231,James Reganc,39,780207811,Journalist
CUS_0x1232,Lawderr,17,441261297,Developer
CUS_0x1233,Tetsushi Kajimotox,51,816018282,Entrepreneur
CUS_0x1234,Carrickn,24,101012307,Musician
CUS_0x1236,Felsenthalq,25,144889752,Scientist
CUS_0x123a,Michelle Martinh,15,669293700,Media Manager
CUS_0x123d,James Reganl,31,736674134,Architect
CUS_0x1246,Vaughanl,33,609307406,Entrepreneur
CUS_0x1249,Soyoung Kimm,33,851754209,Teacher
CUS_0x124a,B.D,29,591078373,Developer
CUS_0x1250,Denny Thomasx,29,011128449,Developer
CUS_0x1252,Irene Preisingera,29,938095300,Entrepreneur
CUS_0x1255,Matt Scuffhamx,47,278980321,Scientist
CUS_0x1258,Flynng,50,673090668,Entrepreneur
CUS_0x125c,Luciae,36,298951359,Manager
CUS_0x1269,Chadbournk,22,755708952,Manager
CUS_0x126d,Brownj,37,047211235,Architect
CUS_0x1271,Carrick Mollenkampq,46,842432499,Architect
CUS_0x1274,Whited,45,298610480,Scientist
CUS_0x1277,Baileyt,23,682008701,Engineer
CUS_0x1278,Rothackern,20,144542861,Teacher
CUS_0x127d,Mccoolg,43,829082773,Doctor
CUS_0x1281,Ernardop,18,728184971,Writer
CUS_0x1285,Lauriay,44,540181115,Architect
CUS_0x1286,David Alexo,55,456379366,Entrepreneur
CUS_0x1288,Taylorq,34,609852725,Doctor
CUS_0x128e,Leikam,20,827288015,Mechanic
CUS_0x128f,David Gaffenk,32,015600619,Teacher
